nome,funcao,contato,email,terceirizado,empresa_terceirizada
"Alberto Alexandre","Administrador","(11) 99999-0000","admin@apontador.com",false,""
"João Silva","Motorista","(11) 98888-1111","joao.silva@email.com",false,""
"Maria Santos","Motorista","(11) 97777-2222","maria.santos@email.com",false,""
"Pedro Oliveira","Motorista","(11) 96666-3333","pedro.oliveira@email.com",false,""
"Ana Costa","Motorista","(11) 95555-4444","ana.costa@email.com",false,""
"Carlos Ferreira","Motorista","(11) 94444-5555","carlos.ferreira@email.com",false,""
"Luiza Pereira","Motorista","(11) 93333-6666","luiza.pereira@email.com",false,""
"Roberto Lima","Motorista","(11) 92222-7777","roberto.lima@email.com",false,""
"Fernanda Rocha","Motorista","(11) 91111-8888","fernanda.rocha@email.com",false,""
"Marcos Alves","Motorista","(11) 90000-9999","marcos.alves@email.com",false,""
"Juliana Martins","Motorista","(11) 89999-0000","juliana.martins@email.com",false,""
"Ricardo Santos","Engenheiro","(11) 88888-1111","ricardo.santos@email.com",false,""
"Patricia Lima","Supervisora","(11) 87777-2222","patricia.lima@email.com",false,""
"Eduardo Costa","Mecânico","(11) 86666-3333","eduardo.costa@email.com",true,"Oficina Mecânica Silva"
"Camila Oliveira","Operadora","(11) 85555-4444","camila.oliveira@email.com",false,""
